technology_1,technology_4,carrier_conversion_in,technology_type,timestep_2,parameter_1,value_1,parameter_2,value_2,timestep,carrier_1,parameter,value
y,yDAC,power;heatLow,emerging,,,,,,,,,
,yDAC,,,,costExpConv,2456.140351,costOprConv,121.5789474,,,,
,yDAC,,,2020,costExpConv,2456.140351,costOprConv,121.5789474,,,,
,yDAC,,,2025,costExpConv,2456.140351,costOprConv,121.5789474,,,,
,yDAC,,,2030,costExpConv,2586.206897,costOprConv,128.0172414,,,,
,yDAC,,,2035,costExpConv,2669.902913,costOprConv,132.1601942,,,,
,yDAC,,,2040,costExpConv,2777.777778,costOprConv,137.5,,,,
,yDAC,,,2045,costExpConv,2513.96648,costOprConv,124.4413408,,,,
,yDAC,,,2050,costExpConv,2247.191011,costOprConv,111.2359551,,,,
,yDAC,,,,,,,,,power,ratioEnerUseFix,0.12
,yDAC,,,,,,,,2020,power,ratioEnerUseFix,0.12
,yDAC,,,,,,,,2025,power,ratioEnerUseFix,0.12
,yDAC,,,,,,,,2030,power,ratioEnerUseFix,0.14
,yDAC,,,,,,,,2035,power,ratioEnerUseFix,0.15
,yDAC,,,,,,,,2040,power,ratioEnerUseFix,0.17
,yDAC,,,,,,,,2045,power,ratioEnerUseFix,0.16
,yDAC,,,,,,,,2050,power,ratioEnerUseFix,0.16
,yDAC,,,,,,,,,power,emissionFac,-400
,yDAC,,,,,,,,2020,power,emissionFac,-400
,yDAC,,,,,,,,2025,power,emissionFac,-400
,yDAC,,,,,,,,2030,power,emissionFac,-500
,yDAC,,,,,,,,2035,power,emissionFac,-571
,yDAC,,,,,,,,2040,power,emissionFac,-667
,yDAC,,,,,,,,2045,power,emissionFac,-667
,yDAC,,,,,,,,2050,power,emissionFac,-667
