technology_4,timestep_2,parameter,value
chpBiomass_,,avaConv,0.84
chpHardcoal,,avaConv,0.844
chpLignite,,avaConv,0.844
chpGas,,avaConv,0.87
chpNuclear,,avaConv,0.837
frtRailConv,,avaConv,0.95
frtRailElectric,,avaConv,0.95
frtRoadOh,,avaConv,0.95
frtRoadBev,2015,avaConv,0.872
frtRoadBev,2020,avaConv,0.917
frtRoadBev,2025,avaConv,0.933
frtRoadBev,2030,avaConv,0.936
frtRoadBev,2035,avaConv,0.938
frtRoadBev,2040,avaConv,0.939
frtRoadBev,2045,avaConv,0.94
frtRoadBev,2050,avaConv,0.94
frtRoadH2,,avaConv,0.95
frtRoadIce,,avaConv,0.95
frtRoadPhev,,avaConv,0.95
frtShipBio,,avaConv,0.95
frtShipConv,,avaConv,0.95
hhtBiomass,,avaConv,0.84
hhtHardcoal,,avaConv,0.844
hhtLignite,,avaConv,0.844
hhtElectricFurnace,,avaConv,0.95
hhtGas,,avaConv,0.87
hhtGeothermal,,avaConv,0.92
hhtOil,,avaConv,0.84
hhtH2,,avaConv,0.982
hltBiomass,,avaConv,0.84
hltHardcoal,,avaConv,0.844
hltLignite,,avaConv,0.844
hltElectricFurnace,,avaConv,0.95
hltGas,,avaConv,0.87
hltGeothermal,,avaConv,0.92
hltHeatpump,,avaConv,0.95
hltOil,,avaConv,0.84
pBiomass_,,avaConv,0.84
pHardcoal,,avaConv,0.844
pLignite,,avaConv,0.844
pGas,2015,avaConv,0.87
pGas,2020,avaConv,0.881
pGas,2025,avaConv,0.893
pGas,2030,avaConv,0.904
pGas,2035,avaConv,0.916
pGas,2040,avaConv,0.927
pGas,2045,avaConv,0.939
pGas,2050,avaConv,0.95
pNuclear,,avaConv,0.837
pOil,,avaConv,0.84
psngAirBio,,avaConv,0.95
psngAirConv,,avaConv,0.95
psngAirH2,,avaConv,0.95
psngRailConv,,avaConv,0.95
psngRailElectric,,avaConv,0.95
psngRoadBev,2015,avaConv,0.872
psngRoadBev,2020,avaConv,0.917
psngRoadBev,2025,avaConv,0.933
psngRoadBev,2030,avaConv,0.936
psngRoadBev,2035,avaConv,0.938
psngRoadBev,2040,avaConv,0.939
psngRoadBev,2045,avaConv,0.94
psngRoadBev,2050,avaConv,0.94
psngRoadH2,,avaConv,0.95
psngRoadIce,,avaConv,0.95
psngRoadPhev,,avaConv,0.95
resGeothermal,,avaConv,0.92
resOcean,2015,avaConv,0.36
resOcean,2020,avaConv,0.45
resOcean,2025,avaConv,0.46
resOcean,2030,avaConv,0.47
resOcean,2035,avaConv,0.47
resOcean,2040,avaConv,0.47
resOcean,2045,avaConv,0.48
resOcean,2050,avaConv,0.5
xElectrolysis,,avaConv,0.982
xFuelCell,,avaConv,0.982
xMethanation,,avaConv,0.982
chpBiomassCcs,,avaConv,0.84
pBiomassCcs,,avaConv,0.84
